iter	Passed	Remaining
0	2	234
1	4	209
2	5	180
3	6	155
4	7	148
5	9	142
6	10	137
7	11	133
8	12	127
9	13	123
10	15	123
11	18	137
12	20	135
13	21	132
14	22	128
15	23	124
16	24	121
17	25	118
18	27	115
19	28	112
20	29	110
21	30	108
22	31	106
23	33	104
24	34	103
25	35	101
26	37	100
27	38	98
28	39	96
29	40	95
30	41	93
31	43	91
32	44	89
33	45	88
34	47	87
35	49	87
36	50	86
37	51	84
38	52	82
39	58	87
40	59	85
41	59	82
42	61	81
43	63	80
44	64	79
45	66	77
46	67	75
47	68	74
48	69	72
49	70	70
50	71	68
51	73	67
52	74	65
53	75	64
54	76	62
55	78	61
56	79	60
57	81	58
58	82	57
59	83	55
60	84	53
61	85	52
62	86	50
63	87	49
64	88	47
65	90	46
66	92	45
67	93	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	104	31
77	106	29
78	107	28
79	109	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	18
86	117	17
87	119	16
88	121	14
89	122	13
90	123	12
91	124	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	133	1
99	134	0
